Date,Product,Region,Price,Promo,Inventory,Sales
2022-01-01,P001,North,44.87,1,278,72
2022-01-01,P002,Central,51.59,0,80,49
2022-01-01,P003,North,53.03,0,77,37
2022-01-01,P004,Central,53.73,0,334,44
2022-01-01,P005,North,53.13,0,482,47
2022-01-01,P006,West,55.33,0,417,54
2022-01-01,P007,West,58.75,0,797,47
2022-01-01,P008,East,56.8,0,693,53
2022-01-01,P009,Central,58.18,0,246,52
2022-01-01,P010,South,62.91,0,925,51
2022-01-02,P001,South,50.39,0,514,42
2022-01-02,P002,West,52.88,0,768,43
2022-01-02,P003,North,51.26,0,796,49
2022-01-02,P004,West,54.76,0,620,58
2022-01-02,P005,South,56.89,0,844,64
2022-01-02,P006,West,53.57,0,985,56
2022-01-02,P007,Central,55.94,0,721,36
2022-01-02,P008,East,55.91,0,812,53
2022-01-02,P009,Central,60.46,0,488,61
2022-01-02,P010,South,57.83,0,555,50
2022-01-03,P001,North,52.84,0,206,41
2022-01-03,P002,East,51.4,0,660,42
2022-01-03,P003,East,55.5,0,931,64
2022-01-03,P004,North,54.2,0,323,50
2022-01-03,P005,West,54.64,0,514,68
2022-01-03,P006,West,57.47,0,569,56
2022-01-03,P007,North,55.85,0,704,51
2022-01-03,P008,West,58.23,0,847,58
2022-01-03,P009,Central,59.58,0,550,80
2022-01-03,P010,West,58.45,0,630,63
2022-01-04,P001,North,50.93,0,120,65
2022-01-04,P002,South,51.87,0,612,55
2022-01-04,P003,South,54.97,0,483,77
2022-01-04,P004,South,53.45,0,737,54
2022-01-04,P005,West,55.1,0,173,60
2022-01-04,P006,North,54.49,0,275,64
2022-01-04,P007,North,57.75,0,284,64
2022-01-04,P008,West,56.48,0,735,64
2022-01-04,P009,East,56.83,0,953,54
2022-01-04,P010,East,58.14,0,149,60
2022-01-05,P001,East,50.55,0,934,55
2022-01-05,P002,North,53.19,0,869,45
2022-01-05,P003,North,51.36,0,509,62
2022-01-05,P004,East,56.29,0,503,64
2022-01-05,P005,Central,55.84,0,603,73
2022-01-05,P006,South,55.92,0,268,41
2022-01-05,P007,East,55.09,0,52,71
2022-01-05,P008,East,59.14,0,798,64
2022-01-05,P009,Central,58.92,0,244,58
2022-01-05,P010,Central,57.37,0,371,92
2022-01-06,P001,North,50.88,0,991,57
2022-01-06,P002,Central,50.37,0,659,51
2022-01-06,P003,North,51.6,0,172,66
2022-01-06,P004,Central,54.64,0,479,53
2022-01-06,P005,Central,53.99,0,317,62
2022-01-06,P006,South,53.93,0,710,73
2022-01-06,P007,West,59.45,0,124,73
2022-01-06,P008,Central,55.52,0,268,62
2022-01-06,P009,Central,61.56,0,952,69
2022-01-06,P010,West,62.0,0,770,66
2022-01-07,P001,West,53.48,0,719,39
2022-01-07,P002,Central,52.85,0,949,48
2022-01-07,P003,South,55.07,0,810,46
2022-01-07,P004,Central,53.15,0,753,50
2022-01-07,P005,West,53.63,0,979,55
2022-01-07,P006,East,53.45,0,391,51
2022-01-07,P007,South,55.64,0,809,43
2022-01-07,P008,Central,49.98,1,954,92
2022-01-07,P009,South,60.97,0,646,49
2022-01-07,P010,North,62.39,0,865,55
2022-01-08,P001,North,49.52,0,305,43
2022-01-08,P002,Central,51.51,0,685,42
2022-01-08,P003,South,51.6,0,216,62
2022-01-08,P004,East,49.75,1,390,72
2022-01-08,P005,East,57.0,0,880,51
2022-01-08,P006,North,53.42,0,531,56
2022-01-08,P007,South,59.39,0,408,48
2022-01-08,P008,South,58.93,0,458,67
2022-01-08,P009,West,56.46,0,841,52
2022-01-08,P010,East,62.06,0,389,67
2022-01-09,P001,North,53.4,0,232,30
2022-01-09,P002,North,51.66,0,796,39
2022-01-09,P003,West,55.57,0,168,42
2022-01-09,P004,West,48.29,1,582,86
2022-01-09,P005,Central,57.42,0,804,48
2022-01-09,P006,North,58.36,0,688,46
2022-01-09,P007,West,54.86,0,971,51
2022-01-09,P008,East,59.14,0,617,61
2022-01-09,P009,South,59.97,0,438,48
2022-01-09,P010,Central,59.44,0,903,40
